"Cocktail Name","Bartender","Bar/Company","City"
"The Kings Mule","Marvin Allen","Hotel Monteleone","New Orleans"
"The Last Tango","Kim Rosselle","Trick Dog","San Francisco"
"The Lover's Quarrel ","Russell Davis","Rickhouse","San Francisco"
"The Naughty Nice","Sarah Manowitz","Spitfire Bar","New Orleans"
"The Nutty Sensation","Raul Ayala","Dirty Habit","San Francisco"
"The Palace Cellar","Michael Esposito","Snake Oil Company","San Diego"
"The Professor","Brandon Wise","Imperial","Portland"
"The Stand By","Vince Toscano","Rye","San Francisco"
"The Swedish","Zachary Brian Taylor","Ziryab","San Francisco"
"Thyme for Bed","Lisa Brier","Skyfall Lounge","Las Vegas"
"Under the Sun","Brian Means","Dirty Habit","San Francisco"
"Union Jack","Jason Patz","Union Lodge No.1","Denver"
"Wabash Avenue Sour","Phillip Ricafort","American Oak","Alameda"
"West Bank","Claire Sprouse","The Bywater","Los Gatos"
"Where's the Orgeat?","Jackie Goldstein","ABV","San Francisco"
"Willow","Carl Wenger","Shady Lady Saloon","Sacramento"
"Winter Season","Michael Blum","Bar Stella","Los Angeles"
"Wooster 53","Diego Sanchez","Cocteleria","New York"
"Xmas in Juniper","Raul Ayala","Dirty Habit","San Francisco"
"Yes, Queen!","Jacyara de Oliveira","Rob Roy","Seattle"
"You Bet Your Ascot","Jason Rager","AQ","San Francisco"
"You Go Glen Coco","Crystal Chasse","Dirty Habit","San Francisco"
"You're Bitter Than That","Kevin Mabry","Capo Restaurant","Boston"
"Ypioca Yellow Card","Scott Brody","Presidio Social Club","San Francisco"
"Yuzu Sazerac","Kenta Goto","Bar Goto","New York"
